sex,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,start,end,event,custody_duration,jail_duration_hours,two_year_recid
Male,Greater than 45,Other,0,1,0,0,0,-1.0,1.0,F,Aggravated Assault w/Firearm,0,0,1,Low,1,Low,0,0,327,0,7.0,23.627222222222223,0
Male,25 - 45,African-American,0,3,0,0,0,-1.0,1.0,F,Felony Battery w/Prior Convict,1,1,3,Low,1,Low,0,9,159,1,10.0,241.85722222222222,1
Male,Less than 25,African-American,0,4,0,1,4,-1.0,1.0,F,Possession of Cocaine,1,0,4,Low,3,Low,4,0,63,0,0.0,26.058333333333334,1
Male,25 - 45,Other,0,1,0,0,0,0.0,0.0,M,Battery,0,0,1,Low,1,Low,0,1,853,0,1.0,31.64388888888889,0
Male,25 - 45,Caucasian,0,6,0,0,14,-1.0,1.0,F,Possession Burglary Tools,1,0,6,Medium,2,Low,14,5,40,1,18.0,151.16833333333332,1
Male,25 - 45,Other,0,4,0,0,3,-1.0,1.0,F,arrest case no charge,0,0,4,Low,3,Low,3,0,265,0,12.0,23.780555555555555,0
Female,25 - 45,Caucasian,0,1,0,0,0,-1.0,1.0,M,Battery,0,0,1,Low,1,Low,0,2,747,0,3.0,70.88666666666667,0
Male,Less than 25,Caucasian,0,3,0,0,1,428.0,308.0,F,Insurance Fraud,1,1,3,Low,5,Medium,1,0,428,1,1.0,23.719444444444445,1
Male,25 - 45,Caucasian,0,4,0,0,0,-1.0,1.0,F,"Poss 3,4 MDMA (Ecstasy)",0,0,4,Low,4,Low,0,0,857,0,1.0,25.930833333333332,0
Male,Less than 25,African-American,0,6,0,0,3,0.0,0.0,M,Battery,1,0,6,Medium,4,Low,3,4,128,1,4.0,100.16527777777777,1
Female,25 - 45,Caucasian,0,1,0,0,0,0.0,0.0,M,Battery,0,0,1,Low,1,Low,0,1,1186,0,1.0,21.73777777777778,0
Male,25 - 45,African-American,0,4,0,0,0,-1.0,1.0,F,"Poss3,4 Methylenedioxymethcath",0,0,4,Low,2,Low,0,0,905,0,1.0,14.395,0
Female,Greater than 45,Caucasian,0,1,0,0,1,-20.0,490.0,F,arrest case no charge,1,0,1,Low,1,Low,1,0,216,1,169.0,342.2838888888889,1
Male,25 - 45,African-American,0,3,0,0,7,22.0,71.0,F,Felony Driving While Lic Suspd,1,0,3,Low,2,Low,7,0,22,1,3.0,74.77333333333333,1
Male,25 - 45,Hispanic,0,1,0,0,0,0.0,0.0,M,Battery,0,0,1,Low,1,Low,0,0,739,0,0.0,5.8036111111111115,0
Male,25 - 45,African-American,0,10,0,0,3,-1.0,1.0,F,Grand Theft in the 3rd Degree,0,0,10,High,9,High,3,0,463,0,62.0,27.48777777777778,0
Male,25 - 45,Caucasian,0,5,0,0,6,-1.0,1.0,F,Driving While License Revoked,1,1,5,Medium,4,Low,6,0,241,1,1.0,25.278333333333332,1
Male,25 - 45,Caucasian,0,3,0,0,5,-1.0,1.0,F,Possession Of Heroin,1,0,3,Low,2,Low,5,0,163,1,31.0,27.333055555555557,1
Male,Greater than 45,African-American,0,6,0,0,13,-1.0,1.0,F,arrest case no charge,1,0,6,Medium,3,Low,13,0,1,1,1.0,26.648333333333333,1
Male,Less than 25,African-American,0,9,0,0,1,-1.0,1.0,F,Battery on Law Enforc Officer,1,0,9,High,9,High,1,2,30,1,1.0,74.64555555555556,1
Male,25 - 45,Caucasian,0,2,0,0,0,0.0,0.0,M,Possession Of Methamphetamine,1,0,2,Low,3,Low,0,0,81,1,0.0,6.953611111111111,1
Female,Less than 25,Caucasian,0,4,0,0,0,-2.0,2.0,F,Introduce Contraband Into Jail,0,0,4,Low,5,Medium,0,0,861,0,1.0,27.686666666666667,0
Male,Less than 25,Hispanic,0,4,0,0,1,0.0,1.0,F,Lewd/Lasc Battery Pers 12+/<16,1,0,4,Low,5,Medium,1,1,411,1,1.0,23.8875,1
Male,25 - 45,Caucasian,0,1,0,0,1,-1.0,1.0,M,Susp Drivers Lic 1st Offense,0,0,1,Low,2,Low,1,0,1162,0,1.0,29.48,0
Male,25 - 45,Other,0,3,0,0,0,-1.0,1.0,M,Battery,0,0,3,Low,4,Low,0,1,1056,0,2.0,42.922222222222224,0
Male,25 - 45,African-American,0,3,0,0,8,-1.0,1.0,F,Carrying Concealed Firearm,1,1,3,Low,3,Low,8,16,116,0,1.0,408.02,1
Female,25 - 45,Caucasian,0,3,0,0,3,53.0,95.0,F,arrest case no charge,0,0,3,Low,1,Low,3,0,53,0,1.0,19.780555555555555,0
Male,25 - 45,African-American,0,7,0,1,5,-1.0,1.0,F,Pos Cannabis W/Intent Sel/Del,1,0,7,Medium,7,Medium,5,0,391,0,8.0,22.754444444444445,1
Male,25 - 45,African-American,0,10,0,0,0,0.0,1.0,F,Tampering With Physical Evidence,1,1,10,High,6,Medium,0,38,215,0,21.0,906.9841666666666,1
Male,25 - 45,Caucasian,0,9,0,0,9,0.0,0.0,F,Felony Battery w/Prior Convict,1,0,9,High,10,High,9,44,162,1,1.0,1061.0694444444443,1
Male,25 - 45,African-American,0,8,0,0,4,-1.0,1.0,F,Att Tamper w/Physical Evidence,1,0,8,High,3,Low,4,0,6,1,2.0,25.83138888888889,1
Male,Greater than 45,Caucasian,0,1,0,0,0,-1.0,1.0,F,arrest case no charge,0,0,1,Low,1,Low,0,1,823,0,2.0,51.87277777777778,0
Male,Greater than 45,Other,0,3,0,0,7,-1.0,0.0,F,Agg Fleeing and Eluding,1,0,3,Low,2,Low,7,3,502,0,1.0,94.12222222222222,1
Male,25 - 45,Caucasian,0,8,0,2,6,81.0,382.0,M,Operating W/O Valid License,0,0,8,High,8,High,6,0,81,0,12.0,290.93916666666667,0
Female,25 - 45,Caucasian,0,5,0,0,4,-1.0,1.0,M,Battery,1,0,5,Medium,2,Low,4,10,223,1,11.0,267.6188888888889,1
Male,Less than 25,Caucasian,0,2,0,0,1,0.0,0.0,M,Battery,1,0,2,Low,3,Low,1,1,240,1,3.0,27.038333333333334,1
Male,25 - 45,African-American,2,9,1,3,21,0.0,0.0,F,Poss Wep Conv Felon,1,0,9,High,6,Medium,21,33,514,1,178.0,799.2266666666667,1
Male,25 - 45,Caucasian,0,2,0,0,0,0.0,1.0,M,Possess Cannabis/20 Grams Or Less,0,0,2,Low,2,Low,0,0,1171,0,0.0,-5.907777777777778,0
Female,Less than 25,African-American,0,8,0,0,2,-1.0,1.0,F,arrest case no charge,0,0,8,High,8,High,2,79,524,0,1.0,1913.8977777777777,0
Male,Greater than 45,African-American,0,1,0,0,2,-1.0,1.0,M,Unlaw Use False Name/Identity,0,0,1,Low,1,Low,2,0,1128,0,1.0,27.289166666666667,0
Male,25 - 45,Caucasian,0,2,0,0,2,-1.0,1.0,M,Viol Injunct Domestic Violence,1,0,2,Low,2,Low,2,0,72,1,1.0,17.02777777777778,1
Female,Greater than 45,African-American,0,2,0,0,7,-1.0,1.0,F,Possession of Cocaine,0,0,2,Low,2,Low,7,1,529,0,8.0,40.094722222222224,0
Male,25 - 45,African-American,0,7,0,0,0,0.0,0.0,F,Defrauding Innkeeper $300/More,1,0,7,Medium,2,Low,0,0,61,1,28.0,4.695277777777778,1
Male,25 - 45,Caucasian,0,10,0,0,9,-1.0,1.0,M,Battery,1,1,10,High,9,High,9,6,8,1,9.0,167.16305555555556,1
Male,25 - 45,African-American,1,8,0,4,13,-1.0,1.0,F,Uttering a Forged Instrument,1,1,8,High,3,Low,13,0,9,1,1.0,21.70777777777778,1
Male,Greater than 45,Caucasian,0,1,0,0,0,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,0,0,1,Low,1,Low,0,0,973,0,0.0,3.808611111111111,0
Male,25 - 45,African-American,0,3,0,0,4,-59.0,59.0,M,Driving License Suspended,1,0,3,Low,2,Low,4,0,257,1,51.0,1229.7905555555556,1
Male,25 - 45,African-American,0,4,0,0,0,0.0,1.0,F,Tampering With Physical Evidence,0,0,4,Low,3,Low,0,0,1073,0,0.0,3.8633333333333333,0
Male,25 - 45,Caucasian,0,2,0,0,1,-24.0,24.0,F,Possession of Oxycodone,1,0,2,Low,2,Low,1,0,441,0,0.0,2.4072222222222224,1
Female,25 - 45,Other,0,2,0,0,0,-1.0,1.0,F,Grand Theft in the 3rd Degree,0,0,2,Low,2,Low,0,0,865,0,1.0,22.338333333333335,0
Male,Greater than 45,Caucasian,0,6,0,0,20,302.0,562.0,F,arrest case no charge,1,0,6,Medium,4,Low,20,0,275,1,1940.0,255.45555555555555,1
Female,Greater than 45,Hispanic,0,1,0,0,1,-219.0,219.0,F,arrest case no charge,0,0,1,Low,1,Low,1,0,800,0,8.0,196.45055555555555,0
Male,25 - 45,African-American,0,5,0,1,15,-1.0,1.0,F,Attempt Armed Burglary Dwell,1,0,5,Medium,7,Medium,15,135,1077,1,136.0,3263.3480555555557,0
